Pushups,,
TRX pushups,TRX,
Tricep dips,,
Overhead tricep press,Weights,
Overhead tricep press TRX,TRX,
T-Y-I fly TRX,TRX,
Row and overhead press,Weights,
Bent over row,Weights,paired
TRX pullups,TRX,
